timestamp,subject,exam,hr,temp
1420.0,S1,Midterm 1,155.95,23.15
1430.0,S1,Midterm 1,148.83,23.15
1440.0,S1,Midterm 1,142.13,23.13
1450.0,S1,Midterm 1,135.5,23.13
1460.0,S1,Midterm 1,127.7,23.15
1470.0,S1,Midterm 1,119.7,23.15
1480.0,S1,Midterm 1,115.42,23.17
1490.0,S1,Midterm 1,114.53,23.17
1500.0,S1,Midterm 1,114.32,23.17
1510.0,S1,Midterm 1,114.3,23.19
1520.0,S1,Midterm 1,114.48,23.15
1530.0,S1,Midterm 1,114.68,23.19
1540.0,S1,Midterm 1,114.57,23.17
1550.0,S1,Midterm 1,112.88,23.19
1560.0,S1,Midterm 1,111.27,23.17
1570.0,S1,Midterm 1,109.83,23.21
1580.0,S1,Midterm 1,108.43,23.23
1590.0,S1,Midterm 1,107.95,23.23
1600.0,S1,Midterm 1,107.75,23.23
1610.0,S1,Midterm 1,107.93,23.25
1620.0,S1,Midterm 1,107.83,23.29
1630.0,S1,Midterm 1,107.87,23.27
1640.0,S1,Midterm 1,106.07,23.31
1650.0,S1,Midterm 1,105.65,23.37
1660.0,S1,Midterm 1,106.37,23.37
1670.0,S1,Midterm 1,107.98,23.37
1680.0,S1,Midterm 1,108.05,23.41
1690.0,S1,Midterm 1,108.57,23.47
1700.0,S1,Midterm 1,110.72,23.49
1710.0,S1,Midterm 1,111.12,23.53
1720.0,S1,Midterm 1,109.38,23.53
1730.0,S1,Midterm 1,106.12,23.57
1740.0,S1,Midterm 1,104.62,23.63
1750.0,S1,Midterm 1,102.5,23.65
1760.0,S1,Midterm 1,99.72,23.67
1770.0,S1,Midterm 1,95.07,23.67
1780.0,S1,Midterm 1,91.35,23.73
1790.0,S1,Midterm 1,88.45,23.71
1800.0,S1,Midterm 1,84.72,23.73
1810.0,S1,Midterm 1,81.38,23.75
1820.0,S1,Midterm 1,82.12,23.75
1830.0,S1,Midterm 1,84.7,23.77
1840.0,S1,Midterm 1,87.65,23.75
1850.0,S1,Midterm 1,89.27,23.77
1860.0,S1,Midterm 1,91.15,23.77
1870.0,S1,Midterm 1,92.58,23.75
1880.0,S1,Midterm 1,88.52,23.77
1890.0,S1,Midterm 1,87.27,23.77
1900.0,S1,Midterm 1,89.32,23.77
1910.0,S1,Midterm 1,94.13,23.77
1920.0,S1,Midterm 1,101.05,23.77
1930.0,S1,Midterm 1,110.97,23.77
1940.0,S1,Midterm 1,122.9,23.77
1950.0,S1,Midterm 1,129.68,23.77
1960.0,S1,Midterm 1,130.15,23.75
1970.0,S1,Midterm 1,128.07,23.77
1980.0,S1,Midterm 1,122.15,23.75
1990.0,S1,Midterm 1,113.8,23.77
2000.0,S1,Midterm 1,112.4,23.73
2010.0,S1,Midterm 1,114.58,23.73
2020.0,S1,Midterm 1,119.83,23.75
2030.0,S1,Midterm 1,124.07,23.71
2040.0,S1,Midterm 1,128.42,23.71
2050.0,S1,Midterm 1,133.08,23.71
2060.0,S1,Midterm 1,130.83,23.71
2070.0,S1,Midterm 1,127.43,23.71
2080.0,S1,Midterm 1,122.9,23.67
2090.0,S1,Midterm 1,120.85,23.69
2100.0,S1,Midterm 1,120.45,23.65
2110.0,S1,Midterm 1,119.07,23.67
2120.0,S1,Midterm 1,117.77,23.63
2130.0,S1,Midterm 1,117.65,23.63
2140.0,S1,Midterm 1,118.6,23.61
2150.0,S1,Midterm 1,117.5,23.61
2160.0,S1,Midterm 1,115.0,23.61
2170.0,S1,Midterm 1,113.9,23.61
2180.0,S1,Midterm 1,111.33,23.59
2190.0,S1,Midterm 1,107.85,23.57
2200.0,S1,Midterm 1,103.85,23.57
2210.0,S1,Midterm 1,102.57,23.55
2220.0,S1,Midterm 1,104.03,23.57
2230.0,S1,Midterm 1,101.9,23.53
2240.0,S1,Midterm 1,103.88,23.49
2250.0,S1,Midterm 1,105.98,23.51
2260.0,S1,Midterm 1,106.87,23.51
2270.0,S1,Midterm 1,104.8,23.51
2280.0,S1,Midterm 1,102.8,23.49
2290.0,S1,Midterm 1,104.37,23.49
2300.0,S1,Midterm 1,101.35,23.47
2310.0,S1,Midterm 1,99.27,23.47
2320.0,S1,Midterm 1,101.5,23.45
2330.0,S1,Midterm 1,106.25,23.45
2340.0,S1,Midterm 1,111.13,23.41
2350.0,S1,Midterm 1,116.13,23.43
2360.0,S1,Midterm 1,123.1,23.41
2370.0,S1,Midterm 1,130.27,23.41
2380.0,S1,Midterm 1,133.15,23.41
2390.0,S1,Midterm 1,136.45,23.39
2400.0,S1,Midterm 1,139.93,23.39
2410.0,S1,Midterm 1,142.1,23.35
2420.0,S1,Midterm 1,143.73,23.37
2430.0,S1,Midterm 1,141.2,23.37
2440.0,S1,Midterm 1,140.75,23.31
2450.0,S1,Midterm 1,140.3,23.33
2460.0,S1,Midterm 1,137.92,23.31
2470.0,S1,Midterm 1,134.67,23.29
2480.0,S1,Midterm 1,132.87,23.29
2490.0,S1,Midterm 1,135.42,23.29
2500.0,S1,Midterm 1,137.57,23.29
2510.0,S1,Midterm 1,138.07,23.25
2520.0,S1,Midterm 1,139.68,23.27
2530.0,S1,Midterm 1,140.87,23.25
2540.0,S1,Midterm 1,140.77,23.25
2550.0,S1,Midterm 1,139.78,23.23
2560.0,S1,Midterm 1,139.38,23.21
2570.0,S1,Midterm 1,137.95,23.21
2580.0,S1,Midterm 1,137.13,23.23
2590.0,S1,Midterm 1,138.72,23.21
2600.0,S1,Midterm 1,139.93,23.19
2610.0,S1,Midterm 1,141.48,23.19
2620.0,S1,Midterm 1,142.15,23.19
2630.0,S1,Midterm 1,142.72,23.17
2640.0,S1,Midterm 1,141.93,23.15
2650.0,S1,Midterm 1,140.98,23.17
2660.0,S1,Midterm 1,140.9,23.13
2670.0,S1,Midterm 1,138.68,23.13
2680.0,S1,Midterm 1,134.98,23.11
2690.0,S1,Midterm 1,132.72,23.11
2700.0,S1,Midterm 1,130.48,23.11
2710.0,S1,Midterm 1,128.22,23.13
2720.0,S1,Midterm 1,128.92,23.09
2730.0,S1,Midterm 1,131.65,23.11
2740.0,S1,Midterm 1,135.75,23.09
2750.0,S1,Midterm 1,137.25,23.07
2760.0,S1,Midterm 1,138.15,23.07
2770.0,S1,Midterm 1,138.57,23.07
2780.0,S1,Midterm 1,139.35,23.05
2790.0,S1,Midterm 1,140.73,23.07
2800.0,S1,Midterm 1,143.45,23.07
2810.0,S1,Midterm 1,149.2,23.05
2820.0,S1,Midterm 1,157.03,23.05
2830.0,S1,Midterm 1,165.38,23.05
2840.0,S1,Midterm 1,172.72,23.03
2850.0,S1,Midterm 1,178.98,23.03
2860.0,S1,Midterm 1,184.88,23.03
2870.0,S1,Midterm 1,187.03,23.03
2880.0,S1,Midterm 1,181.72,23.01
2890.0,S1,Midterm 1,173.12,23.01
2900.0,S1,Midterm 1,165.08,23.01
2910.0,S1,Midterm 1,157.52,22.99
2920.0,S1,Midterm 1,149.67,22.99
2930.0,S1,Midterm 1,148.78,22.99
2940.0,S1,Midterm 1,156.08,22.99
2950.0,S1,Midterm 1,166.08,22.99
2960.0,S1,Midterm 1,172.8,22.99
2970.0,S1,Midterm 1,179.65,22.99
2980.0,S1,Midterm 1,185.23,22.99
2990.0,S1,Midterm 1,186.5,22.99
3000.0,S1,Midterm 1,185.75,22.99
3010.0,S1,Midterm 1,186.8,22.99
3020.0,S1,Midterm 1,190.72,22.99
3030.0,S1,Midterm 1,191.7,22.97
3040.0,S1,Midterm 1,193.05,22.97
3050.0,S1,Midterm 1,194.28,22.97
3060.0,S1,Midterm 1,190.78,22.95
3070.0,S1,Midterm 1,186.28,22.99
3080.0,S1,Midterm 1,179.18,22.97
3090.0,S1,Midterm 1,175.47,22.99
3100.0,S1,Midterm 1,171.83,22.97
3110.0,S1,Midterm 1,168.63,22.97
3120.0,S1,Midterm 1,161.15,22.95
3130.0,S1,Midterm 1,151.5,22.97
3140.0,S1,Midterm 1,140.25,22.97
3150.0,S1,Midterm 1,127.47,22.97
3160.0,S1,Midterm 1,115.17,22.97
3170.0,S1,Midterm 1,105.65,23.05
3180.0,S1,Midterm 1,106.92,23.09
3190.0,S1,Midterm 1,108.47,23.19
3200.0,S1,Midterm 1,112.68,23.27
3210.0,S1,Midterm 1,118.33,23.35
3220.0,S1,Midterm 1,123.18,23.43
3230.0,S1,Midterm 1,122.77,23.51
3240.0,S1,Midterm 1,119.58,23.63
3250.0,S1,Midterm 1,118.37,23.69
3260.0,S1,Midterm 1,115.38,23.71
3270.0,S1,Midterm 1,109.82,23.77
3280.0,S1,Midterm 1,104.27,23.83
3290.0,S1,Midterm 1,100.1,23.89
3300.0,S1,Midterm 1,97.3,23.97
3310.0,S1,Midterm 1,95.77,24.07
3320.0,S1,Midterm 1,95.77,24.21
3330.0,S1,Midterm 1,95.95,24.35
3340.0,S1,Midterm 1,98.25,24.51
3350.0,S1,Midterm 1,103.43,24.63
3360.0,S1,Midterm 1,107.9,24.79
3370.0,S1,Midterm 1,108.72,24.93
3380.0,S1,Midterm 1,106.77,25.03
3390.0,S1,Midterm 1,105.92,25.11
3400.0,S1,Midterm 1,106.05,25.25
3410.0,S1,Midterm 1,99.38,25.33
3420.0,S1,Midterm 1,94.88,25.45
3430.0,S1,Midterm 1,90.18,25.53
3440.0,S1,Midterm 1,87.97,25.59
3450.0,S1,Midterm 1,86.52,25.69
3460.0,S1,Midterm 1,83.83,25.71
3470.0,S1,Midterm 1,90.18,25.81
3480.0,S1,Midterm 1,93.0,25.85
3490.0,S1,Midterm 1,97.3,25.93
3500.0,S1,Midterm 1,100.75,25.97
3510.0,S1,Midterm 1,104.98,26.03
3520.0,S1,Midterm 1,107.25,26.07
3530.0,S1,Midterm 1,104.78,26.13
3540.0,S1,Midterm 1,97.37,26.17
3550.0,S1,Midterm 1,90.4,26.25
3560.0,S1,Midterm 1,83.47,26.31
3570.0,S1,Midterm 1,75.92,26.35
3580.0,S1,Midterm 1,69.32,26.39
3590.0,S1,Midterm 1,64.18,26.45
3600.0,S1,Midterm 1,66.48,26.47
3610.0,S1,Midterm 1,69.85,26.51
3620.0,S1,Midterm 1,74.3,26.55
3630.0,S1,Midterm 1,78.43,26.59
3640.0,S1,Midterm 1,81.55,26.63
3650.0,S1,Midterm 1,83.68,26.65
3660.0,S1,Midterm 1,85.37,26.69
3670.0,S1,Midterm 1,85.02,26.73
3680.0,S1,Midterm 1,87.25,26.71
3690.0,S1,Midterm 1,89.93,26.77
3700.0,S1,Midterm 1,92.92,26.79
3710.0,S1,Midterm 1,94.05,26.79
3720.0,S1,Midterm 1,93.07,26.85
3730.0,S1,Midterm 1,91.83,26.85
3740.0,S1,Midterm 1,87.18,26.89
3750.0,S1,Midterm 1,79.8,26.91
3760.0,S1,Midterm 1,76.58,26.93
3770.0,S1,Midterm 1,75.12,26.97
3780.0,S1,Midterm 1,75.85,26.99
3790.0,S1,Midterm 1,79.17,27.01
3800.0,S1,Midterm 1,82.77,27.03
3810.0,S1,Midterm 1,86.4,27.07
3820.0,S1,Midterm 1,84.4,27.07
3830.0,S1,Midterm 1,82.32,27.11
3840.0,S1,Midterm 1,77.97,27.11
3850.0,S1,Midterm 1,71.87,27.13
3860.0,S1,Midterm 1,66.08,27.13
3870.0,S1,Midterm 1,62.23,27.17
3880.0,S1,Midterm 1,59.53,27.19
3890.0,S1,Midterm 1,58.85,27.19
3900.0,S1,Midterm 1,61.42,27.23
3910.0,S1,Midterm 1,64.45,27.23
3920.0,S1,Midterm 1,67.58,27.23
3930.0,S1,Midterm 1,70.18,27.27
3940.0,S1,Midterm 1,73.53,27.31
3950.0,S1,Midterm 1,75.77,27.31
3960.0,S1,Midterm 1,75.98,27.33
3970.0,S1,Midterm 1,76.65,27.37
3980.0,S1,Midterm 1,75.62,27.39
3990.0,S1,Midterm 1,73.92,27.39
4000.0,S1,Midterm 1,71.05,27.43
4010.0,S1,Midterm 1,69.95,27.47
4020.0,S1,Midterm 1,73.12,27.49
4030.0,S1,Midterm 1,74.22,27.49
4040.0,S1,Midterm 1,73.77,27.53
4050.0,S1,Midterm 1,76.13,27.55
4060.0,S1,Midterm 1,79.48,27.53
4070.0,S1,Midterm 1,80.43,27.55
4080.0,S1,Midterm 1,77.1,27.57
4090.0,S1,Midterm 1,76.97,27.55
4100.0,S1,Midterm 1,79.7,27.57
4110.0,S1,Midterm 1,78.77,27.59
4120.0,S1,Midterm 1,78.13,27.59
4130.0,S1,Midterm 1,79.47,27.59
4140.0,S1,Midterm 1,81.83,27.61
4150.0,S1,Midterm 1,81.85,27.65
4160.0,S1,Midterm 1,80.63,27.63
4170.0,S1,Midterm 1,81.35,27.67
4180.0,S1,Midterm 1,81.33,27.67
4190.0,S1,Midterm 1,79.65,27.67
4200.0,S1,Midterm 1,77.4,27.69
4210.0,S1,Midterm 1,77.82,27.69
4220.0,S1,Midterm 1,81.3,27.71
4230.0,S1,Midterm 1,85.08,27.73
4240.0,S1,Midterm 1,88.55,27.75
4250.0,S1,Midterm 1,91.25,27.75
4260.0,S1,Midterm 1,92.8,27.77
4270.0,S1,Midterm 1,92.33,27.77
