timestamp,subject,exam,hr,temp
2800.0,S1,Midterm 1,143.45,23.07
2820.0,S1,Midterm 1,157.03,23.05
2840.0,S1,Midterm 1,172.72,23.03
2860.0,S1,Midterm 1,184.88,23.03
2880.0,S1,Midterm 1,181.72,23.01
2900.0,S1,Midterm 1,165.08,23.01
2920.0,S1,Midterm 1,149.67,22.99
2940.0,S1,Midterm 1,156.08,22.99
2960.0,S1,Midterm 1,172.8,22.99
2980.0,S1,Midterm 1,185.23,22.99
3000.0,S1,Midterm 1,185.75,22.99
3020.0,S1,Midterm 1,190.72,22.99
3040.0,S1,Midterm 1,193.05,22.97
3060.0,S1,Midterm 1,190.78,22.95
3080.0,S1,Midterm 1,179.18,22.97
3100.0,S1,Midterm 1,171.83,22.97
3120.0,S1,Midterm 1,161.15,22.95
3140.0,S1,Midterm 1,140.25,22.97
3160.0,S1,Midterm 1,115.17,22.97
3180.0,S1,Midterm 1,106.92,23.09
3200.0,S1,Midterm 1,112.68,23.27
3220.0,S1,Midterm 1,123.18,23.43
3240.0,S1,Midterm 1,119.58,23.63
3260.0,S1,Midterm 1,115.38,23.71
3280.0,S1,Midterm 1,104.27,23.83
3300.0,S1,Midterm 1,97.3,23.97
3320.0,S1,Midterm 1,95.77,24.21
3340.0,S1,Midterm 1,98.25,24.51
3360.0,S1,Midterm 1,107.9,24.79
3380.0,S1,Midterm 1,106.77,25.03
3400.0,S1,Midterm 1,106.05,25.25
3420.0,S1,Midterm 1,94.88,25.45
3440.0,S1,Midterm 1,87.97,25.59
3460.0,S1,Midterm 1,83.83,25.71
3480.0,S1,Midterm 1,93.0,25.85
3500.0,S1,Midterm 1,100.75,25.97
3520.0,S1,Midterm 1,107.25,26.07
3540.0,S1,Midterm 1,97.37,26.17
3560.0,S1,Midterm 1,83.47,26.31
3580.0,S1,Midterm 1,69.32,26.39
3600.0,S1,Midterm 1,66.48,26.47
3620.0,S1,Midterm 1,74.3,26.55
3640.0,S1,Midterm 1,81.55,26.63
3660.0,S1,Midterm 1,85.37,26.69
3680.0,S1,Midterm 1,87.25,26.71
3700.0,S1,Midterm 1,92.92,26.79
3720.0,S1,Midterm 1,93.07,26.85
3740.0,S1,Midterm 1,87.18,26.89
3760.0,S1,Midterm 1,76.58,26.93
3780.0,S1,Midterm 1,75.85,26.99
3800.0,S1,Midterm 1,82.77,27.03
3820.0,S1,Midterm 1,84.4,27.07
3840.0,S1,Midterm 1,77.97,27.11
3860.0,S1,Midterm 1,66.08,27.13
3880.0,S1,Midterm 1,59.53,27.19
3900.0,S1,Midterm 1,61.42,27.23
3920.0,S1,Midterm 1,67.58,27.23
3940.0,S1,Midterm 1,73.53,27.31
3960.0,S1,Midterm 1,75.98,27.33
3980.0,S1,Midterm 1,75.62,27.39
4000.0,S1,Midterm 1,71.05,27.43
4020.0,S1,Midterm 1,73.12,27.49
4040.0,S1,Midterm 1,73.77,27.53
4060.0,S1,Midterm 1,79.48,27.53
4080.0,S1,Midterm 1,77.1,27.57
4100.0,S1,Midterm 1,79.7,27.57
4120.0,S1,Midterm 1,78.13,27.59
4140.0,S1,Midterm 1,81.83,27.61
4160.0,S1,Midterm 1,80.63,27.63
4180.0,S1,Midterm 1,81.33,27.67
4200.0,S1,Midterm 1,77.4,27.69
4220.0,S1,Midterm 1,81.3,27.71
4240.0,S1,Midterm 1,88.55,27.75
4260.0,S1,Midterm 1,92.8,27.77
4280.0,S1,Midterm 1,89.93,27.79
4300.0,S1,Midterm 1,86.85,27.79
4320.0,S1,Midterm 1,90.07,27.83
4340.0,S1,Midterm 1,89.85,27.87
4360.0,S1,Midterm 1,84.43,27.87
4380.0,S1,Midterm 1,81.23,27.89
4400.0,S1,Midterm 1,82.02,27.93
4420.0,S1,Midterm 1,83.5,27.99
4440.0,S1,Midterm 1,80.37,28.01
4460.0,S1,Midterm 1,79.17,28.03
4480.0,S1,Midterm 1,77.03,28.05
4500.0,S1,Midterm 1,77.53,28.07
4520.0,S1,Midterm 1,76.5,28.09
4540.0,S1,Midterm 1,73.85,28.11
4560.0,S1,Midterm 1,73.47,28.13
4580.0,S1,Midterm 1,78.77,28.15
4600.0,S1,Midterm 1,87.53,28.17
4620.0,S1,Midterm 1,92.2,28.15
4640.0,S1,Midterm 1,91.82,28.17
4660.0,S1,Midterm 1,88.62,28.21
4680.0,S1,Midterm 1,85.5,28.23
4700.0,S1,Midterm 1,83.53,28.25
4720.0,S1,Midterm 1,86.53,28.25
4740.0,S1,Midterm 1,88.03,28.29
4760.0,S1,Midterm 1,81.35,28.31
4780.0,S1,Midterm 1,83.52,28.31
4800.0,S1,Midterm 1,85.67,28.31
4820.0,S1,Midterm 1,92.6,28.31
4840.0,S1,Midterm 1,91.15,28.31
4860.0,S1,Midterm 1,88.28,28.37
4880.0,S1,Midterm 1,86.97,28.33
4900.0,S1,Midterm 1,87.78,28.33
4920.0,S1,Midterm 1,89.18,28.35
4940.0,S1,Midterm 1,91.02,28.35
4960.0,S1,Midterm 1,89.18,28.37
4980.0,S1,Midterm 1,84.58,28.35
5000.0,S1,Midterm 1,82.5,28.39
5020.0,S1,Midterm 1,78.97,28.41
5040.0,S1,Midterm 1,82.48,28.41
5060.0,S1,Midterm 1,84.92,28.39
5080.0,S1,Midterm 1,89.37,28.43
5100.0,S1,Midterm 1,92.43,28.45
5120.0,S1,Midterm 1,89.12,28.45
5140.0,S1,Midterm 1,81.62,28.45
5160.0,S1,Midterm 1,75.38,28.49
5180.0,S1,Midterm 1,76.12,28.51
5200.0,S1,Midterm 1,80.85,28.51
