timestamp,subject,heart_rate,breathing_rate
0.0,x001,92.6329233680227,18.367351186453742
0.9765625,x001,91.6565752128666,19.68767345385496
1.953125,x001,90.67928098391674,21.640797011378535
2.9296875,x001,90.0,23.296822880966687
3.90625,x001,89.72658467360453,24.000121927548317
4.8828125,x001,89.0,24.000121927548317
5.859375,x001,88.77388836329234,24.000121927548317
6.8359375,x001,88.20340586565752,24.000121927548317
7.8125,x001,89.0,24.000121927548317
8.7890625,x001,89.15610217596972,24.15622410256524
9.765625,x001,90.13245033112582,25.13278588132703
10.7421875,x001,91.10974456007568,25.99990828577588
11.71875,x001,92.0860927152318,25.99990828577588
12.6953125,x001,93.12488174077578,25.93746741576911
13.671875,x001,95.038789025544,24.96090563700732
14.6484375,x001,96.01608325449384,24.000121927548317
15.625,x001,96.99243140964995,24.000121927548317
16.6015625,x001,97.96877956480606,23.03128133163682
17.578125,x001,98.94512771996216,23.000060896633435
18.5546875,x001,99.0,23.000060896633435
19.53125,x001,99.89877010406812,23.000060896633435
20.5078125,x001,100.0,22.124881605732096
21.484375,x001,100.0,21.99999986571856
22.4609375,x001,100.82781456953644,21.17181907912339
23.4375,x001,101.80510879848627,20.99993883480368
24.4140625,x001,102.0,20.99993883480368
25.390625,x001,102.7578051087985,20.99993883480368
26.3671875,x001,103.0,20.99993883480368
27.34375,x001,103.71050141911068,20.99993883480368
28.3203125,x001,104.0,20.99993883480368
29.296875,x001,104.66414380321665,20.99993883480368
30.2734375,x001,105.0,20.99993883480368
31.25,x001,105.61684011352884,21.61729775922545
32.2265625,x001,106.0,21.99999986571856
33.203125,x001,106.5704824976348,21.99999986571856
34.1796875,x001,107.54683065279092,21.99999986571856
35.15625,x001,108.0,21.99999986571856
36.1328125,x001,108.50047303689688,21.99999986571856
37.109375,x001,109.0,21.99999986571856
38.0859375,x001,109.45316934720908,21.99999986571856
39.0625,x001,110.0,22.429700476517837
40.0390625,x001,110.40586565752128,23.000060896633435
41.015625,x001,111.0,22.617023086538143
41.9921875,x001,111.35950804162724,21.99999986571856
42.96875,x001,112.0,21.99999986571856
43.9453125,x001,112.0,21.99999986571856
44.921875,x001,112.0,21.99999986571856
45.8984375,x001,112.0,21.99999986571856
46.875,x001,112.2421948912015,21.99999986571856
47.8515625,x001,113.0,21.99999986571856
48.828125,x001,113.19489120151373,21.99999986571856
49.8046875,x001,114.0,21.99999986571856
50.78125,x001,114.14853358561967,21.99999986571856
51.7578125,x001,115.12488174077578,21.99999986571856
52.734375,x001,116.10122989593188,21.99999986571856
53.7109375,x001,117.07852412488174,21.99999986571856
54.6875,x001,118.05487228003784,21.99999986571856
55.6640625,x001,119.0,22.031220300721944
56.640625,x001,119.00756859035005,23.000060896633435
57.6171875,x001,119.98391674550616,23.000060896633435
58.59375,x001,120.0,23.000060896633435
59.5703125,x001,120.93755912961213,23.93734535393936
60.546875,x001,121.9139072847682,24.913907132701148
61.5234375,x001,122.0,25.89046891146294
62.5,x001,122.0,25.99990828577588
63.4765625,x001,122.0,25.99990828577588
64.453125,x001,122.0,25.99990828577588
65.4296875,x001,121.20340586565752,25.99990828577588
66.40625,x001,121.0,25.226447186337182
67.3828125,x001,121.0,24.999847254861
68.359375,x001,120.27341532639548,24.27338465972848
